CODIGO,CLASE,GRUPO,DESCRIPCION
ALF9586,ACCESORIOS,ALFOMBRAS,"ALFOMBRA CREMA/CAFÉ 7'6""X10'9"""
ALF9639,ACCESORIOS,ALFOMBRAS,"ALFOMBRA ROMBOS NEGRO/CREMA 7'6""X10'9"""
PRT1061,ACCESORIOS,ALFOMBRAS,"ALFOMBRA NATURAL CELESTE BLANCO 7'10""X10'8"""
STZ6010,ACCESORIOS,ALFOMBRAS,"ALFOMBRA CREMA 7'11"" X 10'11"""
ZZB1031,ACCESORIOS,ALFOMBRAS,"ALFOMBRA ROMBOS CREMA/TAUPE 7'6""X10'9"""
901585,ACCESORIOS,ESPEJOS,"ESPEJO CIRCULOS MULTIPLES EN CAFÉ 47""X31"""
901791,ACCESORIOS,ESPEJOS,"ESPEJO BOLAS DE RIO 29""X51"""
8637,ACCESORIOS,ESPEJOS,"ESPEJO REDONDO 30"""
L9708,ACCESORIOS,LAMPARAS,LAMPARA BASE VIDRIO AZUL
L177904,ACCESORIOS,LAMPARAS,LAMPARA DE CERAMICA BLANCA
L327164,ACCESORIOS,LAMPARAS,LAMPARA DE MECATE SHADE CREMA
L430114,ACCESORIOS,LAMPARAS,LAMPARA BASE DE VIDRIO CON MALLA
L430284,ACCESORIOS,LAMPARAS,LAMPARA BASE DE VIDRIO AZUL OSCURO
901246,ACCESORIOS,LAMPARAS,LAMPARA BASE TURQUESA/CAFÉ SHADE NEGRO
901522,ACCESORIOS,LAMPARAS,LAMPARA BASE BLANCA SHADE NEGRO
901653,ACCESORIOS,LAMPARAS,LAMPARA BASE VIDRIO SHADE NEGRO
902970,ACCESORIOS,LAMPARAS,LAMPARA DE MESA TRIPODE DORADA SHADE BLANCO
901471,ACCESORIOS,LAMPARAS,LAMPARA BASE SATINADA GRIS SHADE BLANCO
BAU704-M,ACCESORIOS,ADORNOS,JARRON CAFÉ 
BAU705-M,ACCESORIOS,ADORNOS,JARRON CREMA
CLY670-S,ACCESORIOS,ADORNOS,JARRON CERAMICA CELESTE/BLANCO 20 CMS
CLY671-S,ACCESORIOS,ADORNOS,JARRON CERAMICA AMARILLO/BLANCO 20 CMS
CLY672-M,ACCESORIOS,ADORNOS,JARRON CERAMICA CAFE/BLANCO 27 CMS
LCL605-M,ACCESORIOS,ADORNOS,PALOMA CREMA
SNN418-M,ACCESORIOS,ADORNOS,JARRON CELESTE/BLANCO
SNN419-S,ACCESORIOS,ADORNOS,JARRON CREMA/LILA 22 CMS
ADO-CAS,ACCESORIOS,ADORNOS,ADORNO CASITA
ADO-SOR,ACCESORIOS,ADORNOS,ADORNO SORBETE
400.651.60,ACCESORIOS,ADORNOS,BOWL DE BAMBOO 30 CMS
DKLV1842,ACCESORIOS,ADORNOS,PORTA VELA ESTRELLA DE COBRE
DKLV1840,ACCESORIOS,ADORNOS,PORTA VELA DIAMANTE DE COBRE
20024-3,ACCESORIOS,ADORNOS,SET 3 CANDELABROS DE ALUMINIO
13306,ACCESORIOS,ADORNOS,JARRON AZUL GRANDE DE CERAMICA
13307,ACCESORIOS,ADORNOS,JARRON AZUL PEQUEÑO DE CERAMICA
SIGNOS,ACCESORIOS,ADORNOS,ADORNO @&
A2C00088-1,ACCESORIOS,ADORNOS,JARRON PLATEADO 13 PULG
A2C00088-2,ACCESORIOS,ADORNOS,CANDELABRO PLATEADO 11 PULG
A2C00088-3,ACCESORIOS,ADORNOS,CANDELABRO PLATEADO 8 PULG
A2C00088-4,ACCESORIOS,ADORNOS,FRANSCO PLATEADO CON TAPA
A2C00088-5,ACCESORIOS,ADORNOS,RETRATERA PLATEADA 5X5 PULG
12023,ACCESORIOS,ADORNOS,NUDO DORADO
VC10045-03,ACCESORIOS,ADORNOS,CENTRO CON PUNTAS DE CERAMICA
ABE8012-223,ACCESORIOS,ALFOMBRAS,ALFOMBRA GRIS CREMA
ABI9052-23,ACCESORIOS,ALFOMBRAS,ALFOMBRA CIRCULOS VERDE AZUL
ABI9053-23,ACCESORIOS,ALFOMBRAS,ALFOMBRA CIRCULOS ROSADO/MORADO
ARE9001-35,ACCESORIOS,ALFOMBRAS,ALFOMBRA ROJA MEDIANA
ARE9001-46,ACCESORIOS,ALFOMBRAS,ALFOMBRA ROJA GRANDE
ARE9001-23,ACCESORIOS,ALFOMBRAS,ALFOMBRA ROJA PEQUEÑA
HRZ1009-23,ACCESORIOS,ALFOMBRAS,ALFOMBRA CHEVRON ROJO/GRIS
HRZ1024-23,ACCESORIOS,ALFOMBRAS,ALFOMBRA CHEVRON AMARILLO/GRIS
HRZ1059-335,ACCESORIOS,ALFOMBRAS,ALFOMBRA CHEVRON NEGRO/GRIS
R325002,ACCESORIOS,ALFOMBRAS,ALFOMBRA ROMBOS AZUL BLANCO 5X7
MAV7026-285,ACCESORIOS,ALFOMBRAS,ALFOMBRA DISEÑO GRIS/CREMA
MAV7025-285,ACCESORIOS,ALFOMBRAS,ALFOMBRA CELESTE /GRIS
NVA3008-3952,ACCESORIOS,ALFOMBRAS,ALFOMBRA OJOS NEGRO/BLANCO
NVA3014-3952,ACCESORIOS,ALFOMBRAS,ALFOMBRA FLORES GRIS
